COD_DISBAR,BARRIOS,ANIO,LATITUD,LONGITUD,NRO_PERSONAS
11.0,PALACIO,2016,4474110.875,439417.7914,22390.0
11.0,PALACIO,2018,4474110.875,439417.7914,22515.0
11.0,PALACIO,2019,4474110.875,439417.7914,22923.0
12.0,EMBAJADORES,2016,4473417.211,440397.1764,44944.0
12.0,EMBAJADORES,2018,4473417.211,440397.1764,44630.0
12.0,EMBAJADORES,2019,4473417.211,440397.1764,45259.0
13.0,CORTES,2016,4474035.577,440880.1521,10622.0
13.0,CORTES,2018,4474035.577,440880.1521,10531.0
13.0,CORTES,2019,4474035.577,440880.1521,10484.0
14.0,JUSTICIA,2016,4475014.208,440900.7625,16420.0
14.0,JUSTICIA,2018,4475014.208,440900.7625,16578.0
14.0,JUSTICIA,2019,4475014.208,440900.7625,17153.0
15.0,UNIVERSIDAD,2016,4475244.247,440020.8477,30846.0
15.0,UNIVERSIDAD,2018,4475244.247,440020.8477,30897.0
15.0,UNIVERSIDAD,2019,4475244.247,440020.8477,31725.0
16.0,SOL,2016,4474314.564,440226.8442,7422.0
16.0,SOL,2018,4474314.564,440226.8442,7201.0
16.0,SOL,2019,4474314.564,440226.8442,7337.0
21.0,IMPERIAL,2016,4473089.616,439045.6199,22679.0
21.0,IMPERIAL,2018,4473089.616,439045.6199,22719.0
21.0,IMPERIAL,2019,4473089.616,439045.6199,22766.0
22.0,ACACIAS,2016,4472513.434,439982.8536,36610.0
23.0,CHOPERA,2016,4471808.825,440672.2536,19919.0
24.0,LEGAZPI,2016,4471151.447,441682.9396,18399.0
24.0,LEGAZPI,2018,4471151.447,441682.9396,19252.0
24.0,LEGAZPI,2019,4471151.447,441682.9396,19652.0
25.0,DELICIAS,2016,4472027.934,441453.464,27114.0
26.0,PALOS DE MOGUER,2016,4472774.286,441057.6445,25688.0
26.0,PALOS DE MOGUER,2018,4472774.286,441057.6445,25748.0
26.0,PALOS DE MOGUER,2019,4472774.286,441057.6445,25801.0
27.0,ATOCHA,2016,4472353.007,442131.2346,1111.0
27.0,ATOCHA,2018,4472353.007,442131.2346,1165.0
27.0,ATOCHA,2019,4472353.007,442131.2346,1175.0
31.0,PACÍFICO,2016,4472859.079,442407.5013,33714.0
31.0,PACÍFICO,2018,4472859.079,442407.5013,33601.0
31.0,PACÍFICO,2019,4472859.079,442407.5013,33571.0
32.0,ADELFAS,2016,4472494.747,443062.2345,17931.0
32.0,ADELFAS,2018,4472494.747,443062.2345,18345.0
32.0,ADELFAS,2019,4472494.747,443062.2345,18474.0
33.0,ESTRELLA,2016,4473931.01,443534.9304,23200.0
34.0,IBIZA,2016,4474469.277,442791.7959,21433.0
34.0,IBIZA,2018,4474469.277,442791.7959,21472.0
34.0,IBIZA,2019,4474469.277,442791.7959,21646.0
35.0,JERÓNIMOS,2016,4473905.687,441870.6698,7031.0
36.0,NIÑO JESÚS,2016,4473660.907,442862.905,15250.0
36.0,NIÑO JESÚS,2018,4473660.907,442862.905,15280.0
36.0,NIÑO JESÚS,2019,4473660.907,442862.905,15343.0
41.0,RECOLETOS,2016,4475110.43,441820.8979,15484.0
41.0,RECOLETOS,2018,4475110.43,441820.8979,15756.0
41.0,RECOLETOS,2019,4475110.43,441820.8979,15734.0
42.0,GOYA,2016,4475153.753,442789.9119,29108.0
42.0,GOYA,2018,4475153.753,442789.9119,29604.0
42.0,GOYA,2019,4475153.753,442789.9119,29649.0
43.0,FUENTE DEL BERRO,2016,4475116.489,443691.2602,20729.0
43.0,FUENTE DEL BERRO,2018,4475116.489,443691.2602,20747.0
43.0,FUENTE DEL BERRO,2019,4475116.489,443691.2602,21071.0
44.0,GUINDALERA,2016,4476402.061,443463.5845,40448.0
44.0,GUINDALERA,2018,4476402.061,443463.5845,41259.0
44.0,GUINDALERA,2019,4476402.061,443463.5845,41609.0
45.0,LISTA,2016,4475927.641,442676.6687,20633.0
45.0,LISTA,2018,4475927.641,442676.6687,20956.0
45.0,LISTA,2019,4475927.641,442676.6687,20961.0
46.0,CASTELLANA,2016,4476104.298,441959.5528,16842.0
46.0,CASTELLANA,2018,4476104.298,441959.5528,16946.0
46.0,CASTELLANA,2019,4476104.298,441959.5528,17124.0
51.0,EL VISO,2016,4477360.964,441927.2958,17018.0
51.0,EL VISO,2018,4477360.964,441927.2958,17145.0
51.0,EL VISO,2019,4477360.964,441927.2958,17302.0
52.0,PROSPERIDAD,2016,4477279.652,443241.5164,36156.0
52.0,PROSPERIDAD,2018,4477279.652,443241.5164,36522.0
52.0,PROSPERIDAD,2019,4477279.652,443241.5164,36651.0
53.0,CIUDAD JARDÍN,2016,4477733.182,442929.7851,18262.0
53.0,CIUDAD JARDÍN,2018,4477733.182,442929.7851,18487.0
53.0,CIUDAD JARDÍN,2019,4477733.182,442929.7851,18642.0
54.0,HISPANOAMÉRICA,2016,4478520.651,442584.7337,31224.0
54.0,HISPANOAMÉRICA,2018,4478520.651,442584.7337,31373.0
54.0,HISPANOAMÉRICA,2019,4478520.651,442584.7337,31733.0
55.0,NUEVA ESPAÑA,2016,4479342.236,442506.6745,23548.0
55.0,NUEVA ESPAÑA,2018,4479342.236,442506.6745,24496.0
55.0,NUEVA ESPAÑA,2019,4479342.236,442506.6745,24657.0
56.0,CASTILLA,2016,4480625.699,442382.2751,16402.0
56.0,CASTILLA,2018,4480625.699,442382.2751,16871.0
56.0,CASTILLA,2019,4480625.699,442382.2751,16880.0
61.0,BELLAS VISTAS,2016,4478217.699,439996.5425,28210.0
61.0,BELLAS VISTAS,2018,4478217.699,439996.5425,28750.0
61.0,BELLAS VISTAS,2019,4478217.699,439996.5425,29146.0
62.0,CUATRO CAMINOS,2016,4478108.124,440893.969,33637.0
62.0,CUATRO CAMINOS,2018,4478108.124,440893.969,34254.0
62.0,CUATRO CAMINOS,2019,4478108.124,440893.969,34608.0
63.0,CASTILLEJOS,2016,4479092.74,441146.7116,19799.0
63.0,CASTILLEJOS,2018,4479092.74,441146.7116,20363.0
63.0,CASTILLEJOS,2019,4479092.74,441146.7116,20513.0
64.0,ALMENARA,2016,4480229.372,441142.6001,21769.0
64.0,ALMENARA,2018,4480229.372,441142.6001,22421.0
64.0,ALMENARA,2019,4480229.372,441142.6001,22642.0
65.0,VALDEACEDERAS,2016,4479832.029,440304.6074,24932.0
65.0,VALDEACEDERAS,2018,4479832.029,440304.6074,25571.0
65.0,VALDEACEDERAS,2019,4479832.029,440304.6074,26021.0
66.0,BERRUGUETE,2016,4479011.421,440230.3974,24198.0
66.0,BERRUGUETE,2018,4479011.421,440230.3974,24608.0
66.0,BERRUGUETE,2019,4479011.421,440230.3974,25007.0
71.0,GAZTAMBIDE,2016,4476283.322,439389.8945,22638.0
71.0,GAZTAMBIDE,2018,4476283.322,439389.8945,22666.0
71.0,GAZTAMBIDE,2019,4476283.322,439389.8945,22891.0
72.0,ARAPILES,2016,4476214.595,439947.5584,24044.0
72.0,ARAPILES,2018,4476214.595,439947.5584,24335.0
72.0,ARAPILES,2019,4476214.595,439947.5584,24455.0
73.0,TRAFALGAR,2016,4476037.29,440530.8517,24517.0
73.0,TRAFALGAR,2018,4476037.29,440530.8517,24523.0
73.0,TRAFALGAR,2019,4476037.29,440530.8517,24696.0
74.0,ALMAGRO,2016,4476032.059,441174.9953,19701.0
74.0,ALMAGRO,2018,4476032.059,441174.9953,19799.0
74.0,ALMAGRO,2019,4476032.059,441174.9953,19807.0
75.0,RÍOS ROSAS,2016,4477096.745,440826.6665,26785.0
75.0,RÍOS ROSAS,2018,4477096.745,440826.6665,27049.0
75.0,RÍOS ROSAS,2019,4477096.745,440826.6665,27382.0
76.0,VALLEHERMOSO,2016,4477158.887,439682.3814,19847.0
76.0,VALLEHERMOSO,2018,4477158.887,439682.3814,20046.0
76.0,VALLEHERMOSO,2019,4477158.887,439682.3814,20217.0
81.0,EL PARDO,2016,4489409.578,435018.7103,3375.0
81.0,EL PARDO,2018,4489409.578,435018.7103,3456.0
81.0,EL PARDO,2019,4489409.578,435018.7103,3454.0
82.0,FUENTELAREINA,2016,4481421.762,437127.6497,3186.0
82.0,FUENTELAREINA,2018,4481421.762,437127.6497,3234.0
82.0,FUENTELAREINA,2019,4481421.762,437127.6497,3265.0
83.0,PEÑAGRANDE,2016,4481152.656,438480.3153,44147.0
83.0,PEÑAGRANDE,2018,4481152.656,438480.3153,44412.0
83.0,PEÑAGRANDE,2019,4481152.656,438480.3153,44508.0
84.0,PILAR,2016,4480959.021,439853.0231,45730.0
85.0,LA PAZ,2016,4481394.724,440957.8603,33994.0
85.0,LA PAZ,2018,4481394.724,440957.8603,33783.0
85.0,LA PAZ,2019,4481394.724,440957.8603,33765.0
86.0,VALVERDE,2016,4483501.173,442483.6118,58731.0
86.0,VALVERDE,2018,4483501.173,442483.6118,61941.0
86.0,VALVERDE,2019,4483501.173,442483.6118,63201.0
87.0,MIRASIERRA,2016,4483094.181,439024.2924,29519.0
87.0,MIRASIERRA,2018,4483094.181,439024.2924,32058.0
87.0,MIRASIERRA,2019,4483094.181,439024.2924,32898.0
88.0,EL GOLOSO,2016,4487307.227,440716.0024,16800.0
88.0,EL GOLOSO,2018,4487307.227,440716.0024,17950.0
88.0,EL GOLOSO,2019,4487307.227,440716.0024,18511.0
91.0,CASA DE CAMPO,2016,4475050.323,436118.4975,12864.0
91.0,CASA DE CAMPO,2018,4475050.323,436118.4975,12900.0
91.0,CASA DE CAMPO,2019,4475050.323,436118.4975,12991.0
92.0,ARGÜELLES,2016,4475533.294,439109.0847,23935.0
92.0,ARGÜELLES,2018,4475533.294,439109.0847,23992.0
92.0,ARGÜELLES,2019,4475533.294,439109.0847,24093.0
93.0,CIUDAD UNIVERSITARIA,2016,4478627.02,437391.5065,16019.0
93.0,CIUDAD UNIVERSITARIA,2018,4478627.02,437391.5065,16097.0
93.0,CIUDAD UNIVERSITARIA,2019,4478627.02,437391.5065,16260.0
94.0,VALDEZARZA,2016,4479644.899,439188.6628,29404.0
